,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
197,Gabriel Péri - Danielle Casanova,15.0,2.403,48.79,,,,,,,,
198,Route de la Muette - Porte de Neuilly,45.0,2.259,48.88,,,,,,,,
199,Carnot - Pâquerettes,22.0,2.426,48.796,,,,,,,,
200,Tertres - Fontaine,3.0,2.306,48.788,,,,,,,,
201,Gare Rer de Fontenay sous Bois,4.0,2.463,48.844,,,,,,,,
202,Raspail - Manufacture des Oeillets,9.0,2.39,48.809,,,,,,,,
203,Lucie Aubrac - Franklin,1.0,2.444,48.862,,,,,,,,
204,Place de l'Eglise - Vitry-sur-Seine,24.0,2.395,48.792,,,,,,,,
205,Noisy le Sec - Jean-Baptiste Clément,2.0,2.415,48.875,,,,,,,,
206,Marcelle - Thalie,3.0,2.414,48.884,,,,,,,,
207,Henri Ste-Claire Déville - Paul Héroult,18.0,2.172,48.893,,,,,,,,
208,Louis Lumière - Porte de Bagnolet,3.0,2.411,48.864,,,,,,,,
209,Paris - Emile Zola,12.0,2.419,48.855,,,,,,,,
210,Victor Hugo - Galliéni,9.0,2.246,48.838,,,,,,,,
211,Victoire - Chaussée d'Antin,6.0,2.332,48.875,,,,,,,,
212,Proudhon - Président Wilson,0.0,2.358,48.906,,,,,,,,
213,Square Georges Melies,11.0,2.41,48.841,,,,,,,,
214,Galilée - Kléber,4.0,2.291,48.867,,,,,,,,
215,Richard Lenoir - Jean-Pierre Timbaud,9.0,2.369,48.866,,,,,,,,
216,Legendre - Dulong,10.0,2.316,48.885,,,,,,,,
217,Bosquet - Saint-Dominique,20.0,2.304,48.859,,,,,,,,
218,Place de la Porte de Champerret,0.0,2.291,48.886,,,,,,,,
219,Chemin Vert - Saint-Maur,23.0,2.381,48.861,,,,,,,,
220,Quai Panhard et Levassor,25.0,2.384,48.828,,,,,,,,
221,Square du Théâtre du Garde-Chasse,5.0,2.42,48.881,,,,,,,,
222,Botzaris - Parc des Buttes Chaumont,3.0,2.381,48.878,,,,,,,,
223,Faubourg Montmartre - La Fayette,23.0,2.341,48.875,,,,,,,,
224,Joseph Liouville - Croix Nivert,25.0,2.298,48.845,,,,,,,,
225,Place Madeleine Daniélou,7.0,2.282,48.883,,,,,,,,
226,Estrapade - Ulm,9.0,2.345,48.845,,,,,,,,
227,Parmentier - République ,19.0,2.375,48.864,,,,,,,,
228,Lieutenant Chauré - Etienne Marey,5.0,2.406,48.867,,,,,,,,
229,Cujas - Saint-Michel,13.0,2.342,48.848,,,,,,,,
230,Flandre - Alphonse Karr,10.0,2.382,48.895,,,,,,,,
231,Gare de Clamart,5.0,2.272,48.814,,,,,,,,
232,Larmeroux - Baudelaire,6.0,2.281,48.817,,,,,,,,
233,Jean-François Lépine - Stephenson,7.0,2.357,48.886,,,,,,,,
234,Messine - Place Du Pérou,4.0,2.316,48.875,,,,,,,,
235,Beffroy,11.0,2.261,48.887,,,,,,,,
236,Molitor - Chardon-Lagache,11.0,2.266,48.845,,,,,,,,
237,Général De Gaulle - Alouette,8.0,2.418,48.839,,,,,,,,
238,Abbé Carton - Plantes,2.0,2.321,48.828,,,,,,,,
239,Marie-Georges Picquart - Pereire,5.0,2.311,48.889,,,,,,,,
240,Sablons - Georges Mandel,5.0,2.282,48.864,,,,,,,,
241,Gare RER de Vincennes,2.0,2.433,48.848,,,,,,,,
242,Villette - Belleville,8.0,2.376,48.873,,,,,,,,
243,Théophile Gautier - François Millet,22.0,2.273,48.85,,,,,,,,
244,Edouard Vaillant - Galliéni,0.0,2.415,48.858,,,,,,,,
245,Marché Secrétan,2.0,2.373,48.881,,,,,,,,
246,Porte Maillot - Pereire,0.0,2.284,48.878,,,,,,,,
247,Quai de l'Aisne - Général Leclerc,10.0,2.401,48.896,,,,,,,,
248,Mairie du 11ème,28.0,2.379,48.859,,,,,,,,
249,Auguste Cain - Jean Moulin,3.0,2.321,48.826,,,,,,,,
250,Volontaire - Lecourbe,16.0,2.307,48.844,,,,,,,,
251,Lakanal - Commerce,47.0,2.294,48.844,,,,,,,,
252,Miromesnil - La Boétie,6.0,2.316,48.874,,,,,,,,
253,Marseille - Beaurepaire,9.0,2.364,48.872,,,,,,,,
254,Mathurins - Auber,8.0,2.329,48.873,,,,,,,,
255,Saint-Germain - Thenard,24.0,2.347,48.851,,,,,,,,
256,Square d'Anvers,3.0,2.345,48.883,,,,,,,,
257,Arago - Glacière,14.0,2.345,48.835,,,,,,,,
258,Mairie d'Ivry-sur-Seine,27.0,2.384,48.811,,,,,,,,
259,Parc Georges Brassens - Brancion,5.0,2.302,48.832,,,,,,,,
260,Parmentier - Abel Rabaud,12.0,2.372,48.869,,,,,,,,
261,Place Paul Eluard,15.0,2.414,48.767,,,,,,,,
262,Exelmans - Michel-Ange,6.0,2.26,48.843,,,,,,,,
263,Pierret - Madrid,28.0,2.26,48.883,,,,,,,,
264,Reims - Raymond Pitet,12.0,2.296,48.889,,,,,,,,
265,Saint-Vincent - Verdun,18.0,2.254,48.819,,,,,,,,
266,Grand Prieuré - Crussol,10.0,2.369,48.865,,,,,,,,
267,Claude Debussy - Marc Bloch,36.0,2.312,48.91,,,,,,,,
268,Aristide Briand - Gare de Bagneux,8.0,2.321,48.794,,,,,,,,
269,Parc Roger Salengro,29.0,2.311,48.905,,,,,,,,
270,Seine - Flandre,8.0,2.375,48.887,,,,,,,,
271,Hautpoul - Jean Jaurès,5.0,2.387,48.886,,,,,,,,
272,Chemin Vert - Fraternité,7.0,2.446,48.877,,,,,,,,
273,Laumière - Petit,10.0,2.38,48.885,,,,,,,,
274,Wilson - Métallurgie,12.0,2.358,48.909,,,,,,,,
275,Madame de Sanzillon - Mozart,13.0,2.319,48.904,,,,,,,,
276,Mairie du 7ème,12.0,2.319,48.858,,,,,,,,
277,Charonne - Faubourg Saint-Antoine,27.0,2.374,48.852,,,,,,,,
278,Gare Routière de Saint Cloud,15.0,2.222,48.843,,,,,,,,
279,Gare Arcueil - Cachan,16.0,2.328,48.8,,,,,,,,
280,Raspail - Bac,17.0,2.326,48.856,,,,,,,,
281,Gare RER de Gentilly,13.0,2.341,48.814,,,,,,,,
282,Boyer - Ménilmontant,0.0,2.392,48.869,,,,,,,,
283,Aristide Briand - Place de la Résistance,20.0,2.251,48.821,,,,,,,,
284,Place Jean Ferrat,4.0,2.374,48.818,,,,,,,,
285,Villiers de l'Isle Adam - Pyrénées,1.0,2.396,48.867,,,,,,,,
286,Saint Georges - d'Aumale,4.0,2.337,48.878,,,,,,,,
287,Stalingrad - Désiré Chevalier,4.0,2.445,48.857,,,,,,,,
288,Porte d'Ivry,10.0,2.369,48.822,,,,,,,,
289,Saint-Jacques - Soufflot,0.0,2.343,48.847,,,,,,,,
290,Victor Hugo - Ecoles,22.0,2.418,48.805,,,,,,,,
291,Hôpital Bégin,4.0,2.427,48.846,,,,,,,,
292,Belleville - Couronnes,7.0,2.381,48.869,,,,,,,,
293,Charenton - Diderot,12.0,2.379,48.846,,,,,,,,
294,Stephenson - Doudeauville,27.0,2.356,48.889,,,,,,,,
295,Jules Ferry - Faubourg du Temple Paris,18.0,2.368,48.868,,,,,,,,
296,Place de l'Édit de Nantes,5.0,2.378,48.889,,,,,,,,
297,Anatole France - Louise Michel,23.0,2.288,48.889,,,,,,,,
298,Temple - Jean-Pierre Timbaud,28.0,2.366,48.864,,,,,,,,
299,Guynemer - Séverine,25.0,2.279,48.831,,,,,,,,
300,Jean Macé - Faidherbe,24.0,2.383,48.853,,,,,,,,
301,Gaston Roussel - Commune de Paris,2.0,2.433,48.894,,,,,,,,
302,Bienfaisance - Place de Narvik,7.0,2.313,48.877,,,,,,,,
303,Montgallet - Charenton,16.0,2.386,48.843,,,,,,,,
304,Place Jacques Madaule,14.0,2.261,48.824,,,,,,,,
305,Bourse du Travail,7.0,2.362,48.869,,,,,,,,
306,Jacques Callot - Mazarine,18.0,2.338,48.855,,,,,,,,
307,Parmentier - Hôpital Saint-Louis,24.0,2.37,48.871,,,,,,,,
308,Richard Wallace - Place du 8 Mai 1945,17.0,2.242,48.879,,,,,,,,
309,Faustin Hélie - Desbordes-Valmore,5.0,2.277,48.859,,,,,,,,
310,Quai aux Fleurs - Pont Saint-Louis,19.0,2.352,48.853,,,,,,,,
311,Porte de Vincennes,2.0,2.416,48.846,,,,,,,,
312,Flandre - Riquet,3.0,2.374,48.888,,,,,,,,
313,Place de la Porte de Châtillon,5.0,2.319,48.824,,,,,,,,
314,Montreuil - Gonnet,16.0,2.389,48.851,,,,,,,,
315,Dupleix - du Guesclin,39.0,2.297,48.851,,,,,,,,
316,Montgallet - Reuilly,7.0,2.39,48.844,,,,,,,,
317,Varenne,6.0,2.315,48.857,,,,,,,,
318,Place des Ternes.,5.0,2.298,48.878,,,,,,,,
319,Ancien Canal - Hélène Brion,3.0,2.419,48.895,,,,,,,,
320,Departement - Pajol,6.0,2.361,48.887,,,,,,,,
321,Boulets - Voltaire,16.0,2.389,48.852,,,,,,,,
322,Fragonard - Porte de Clichy,29.0,2.314,48.894,,,,,,,,
323,Lacuée - Lyon,10.0,2.37,48.849,,,,,,,,
324,Jardin d'Acclimatation,24.0,2.271,48.879,,,,,,,,
325,Gare Montparnasse - René Mouchotte,2.0,2.321,48.839,,,,,,,,
326,Charles de Gaulle - Jean Lolive,6.0,2.413,48.893,,,,,,,,
327,Paul Vaillant Couturier - Chaptal,9.0,2.278,48.893,,,,,,,,
328,Place de la Fraternité,8.0,2.423,48.857,,,,,,,,
329,Vincent Auriol - Louise Weiss,16.0,2.37,48.834,,,,,,,,
330,Gare de Laplace,12.0,2.335,48.809,,,,,,,,
331,Bayen - Pereire,5.0,2.292,48.882,,,,,,,,
332,Quai de la Loire - Jean Jaurès,2.0,2.371,48.883,,,,,,,,
333,Gare de Lyon - Roland Barthes,46.0,2.379,48.844,,,,,,,,
334,Route de Sèvres - Porte de Bagatelle,49.0,2.249,48.875,,,,,,,,
335,Commandant Rivière,6.0,2.31,48.873,,,,,,,,
336,Gare de Pont-Cardinet,9.0,2.314,48.887,,,,,,,,
337,Bordier - Félix Faure,26.0,2.383,48.904,,,,,,,,
338,Jussieu - Fossés Saint-Bernard,27.0,2.353,48.847,,,,,,,,
339,Charonne - Avron,3.0,2.398,48.852,,,,,,,,
340,Félix Faure - Sadi Carnot,5.0,2.379,48.908,,,,,,,,
341,Square Cambronne,46.0,2.303,48.848,,,,,,,,
342,Lemercier - Cardinet,4.0,2.317,48.89,,,,,,,,
343,18 juin 1940 - Buzenval,13.0,2.185,48.869,,,,,,,,
344,Porte de la Villette,2.0,2.386,48.898,,,,,,,,
345,Ouest - Château ,3.0,2.319,48.836,,,,,,,,
346,Place aux Étoiles,5.0,2.352,48.918,,,,,,,,
347,Flandrin - Henri Martin,5.0,2.272,48.864,,,,,,,,
348,Alexandre Dumas - Voltaire,17.0,2.389,48.853,,,,,,,,
349,Jean Colly - Tolbiac,5.0,2.371,48.828,,,,,,,,
350,Pirogues de Bercy - Libourne,17.0,2.386,48.832,,,,,,,,
351,Place Jean-Baptiste Clément,9.0,2.362,48.812,,,,,,,,
352,Verdun - Place Henri IV,12.0,2.228,48.871,,,,,,,,
353,Picpus - Louis Braille,26.0,2.401,48.84,,,,,,,,
354,Porte d'Auteuil,16.0,2.261,48.848,,,,,,,,
355,Sarrette - Général Leclerc,6.0,2.326,48.825,,,,,,,,
356,Dugommier,30.0,2.39,48.839,,,,,,,,
357,Réunion - Avron,7.0,2.404,48.853,,,,,,,,
358,Bastille - Biscornet,50.0,2.369,48.851,,,,,,,,
359,Square des Saint-Simoniens,3.0,2.397,48.87,,,,,,,,
360,Petit - Manin,5.0,2.394,48.887,,,,,,,,
361,Place des Marseillais,12.0,2.406,48.827,,,,,,,,
362,Charenton - Wattignies,31.0,2.392,48.837,,,,,,,,
363,Gare Rosny-Bois-Perrier,30.0,2.48,48.881,,,,,,,,
364,Chanzy - Sud-Est,21.0,2.196,48.889,,,,,,,,
365,Jussieu - Guy de la Brosse,36.0,2.356,48.846,,,,,,,,
366,Gabrielle Josserand - Edouard Vaillant,14.0,2.393,48.903,,,,,,,,
367,Square René Viviani - Montebello,21.0,2.348,48.852,,,,,,,,
368,Jean Lolive - Parc Stalingrad,8.0,2.409,48.892,,,,,,,,
369,Courcelles - Place des Ternes,4.0,2.299,48.878,,,,,,,,
370,Cambronne - Villa Croix Nivert,26.0,2.302,48.846,,,,,,,,
